Folder1,Folder2,AverageDistance
435,197,2.476108604007297
435,195,2.4520927800072565
435,463,2.789171404308743
435,226,2.5563388665517173
435,77,2.678756448957655
435,221,1.6885735326343112
435,342,2.3996742566426597
435,330,2.495090458128187
435,223,2.0139619509379068
435,381,2.316773917939928
435,148,2.23276776737637
435,391,2.3492954042222767
435,146,2.2601800759633384
435,406,2.297024885813395
435,272,2.7775270144144693
435,220,1.699168947007921
435,151,2.2249892817603216
435,296,2.529762585957845
435,42,2.1263896094428167
435,246,2.572610510720147
435,217,1.8240780300564237
435,8,2.2276130517323813
435,116,2.317571507559882
435,319,2.133516867955526
435,9,2.1990329689449735
435,158,2.8106434610154896
435,102,1.8385124206542969
435,161,2.2671857145097523
435,228,2.376879506640964
435,70,2.6575935416751437
435,138,2.4066737492879233
435,255,2.2725415229797363
435,267,2.587725559870402
435,58,2.5424971845414905
457,197,2.789843956629435
457,195,2.832998752593994
457,463,2.993844985961914
457,226,2.82532000541687
457,77,2.8342663976881237
457,221,2.0361231168111167
457,342,2.591537210676405
457,330,2.73543824089898
457,223,1.9836120473013983
457,381,2.7035340203179254
457,148,2.430327680375841
457,391,2.480767832862006
457,146,2.4575061003367105
457,406,2.6304550965627036
457,272,2.941216813193427
457,220,2.0816671318478055
457,151,2.43196177482605
457,296,2.497526513205634
457,42,2.2238913774490356
457,246,2.6160014735327826
457,217,2.2184075514475503
457,8,2.3255368338690863
457,116,2.1544104152255588
457,319,2.5508332517411976
457,9,2.437992943657769
457,158,2.94301258193122
457,102,2.0645045836766562
457,161,2.5547084543440075
457,228,2.637762440575494
457,70,2.8850759665171304
457,138,2.423923280504015
457,255,2.4875930680169
457,267,2.606192191441854
457,58,2.709980567296346
428,197,2.469704919391208
428,195,2.485975397957696
428,463,2.7879668871561685
428,226,2.6586626635657415
428,77,2.6826829645368786
428,221,1.8796816269556682
428,342,2.3533323340945773
428,330,2.450846142239041
428,223,1.9480766322877672
428,381,2.3553004529741077
428,148,2.1268426842159696
428,391,2.3572430080837674
428,146,2.222505384021335
428,406,2.333415402306451
428,272,2.7892397244771323
428,220,1.8580675390031602
428,151,2.233879698647393
428,296,2.649381981955634
428,42,2.132546901702881
428,246,2.683981074227227
428,217,1.8905705478456285
428,8,2.3602924082014294
428,116,2.2895425425635443
428,319,2.195755296283298
428,9,2.2181302971310086
428,158,2.8251778284708657
428,102,1.9426803323957655
428,161,2.2419594128926597
428,228,2.3960890769958496
428,70,2.6245426072014704
428,138,2.354095458984375
428,255,2.2913392119937472
428,267,2.6419359842936196
428,58,2.4875364038679333
447,197,2.5280905034806995
447,195,2.554383887184991
447,463,2.785385184817844
447,226,2.692660411198934
447,77,2.6844440036349826
447,221,2.0523383220036826
447,342,2.4046841197543674
447,330,2.485036055246989
447,223,2.4822203583187528
447,381,2.3363936477237277
447,148,2.4872213469611273
447,391,2.3215556939442954
447,146,2.3169502682156033
447,406,2.4160735077328153
447,272,2.847144365310669
447,220,2.125814186202155
447,151,2.5710648695627847
447,296,2.8206827110714383
447,42,2.146513435575697
447,246,2.842038048638238
447,217,2.27192046907213
447,8,2.475066900253296
447,116,2.483447869618734
447,319,2.4758373631371393
447,9,2.382917669084337
447,158,2.8928765985700817
447,102,2.1942085954878063
447,161,2.590141216913859
447,228,2.434557172987196
447,70,2.7427063253190784
447,138,2.576268434524536
447,255,2.343009524875217
447,267,2.5648538536495633
447,58,2.4182927343580456
60,197,2.1275654104020862
60,195,2.1294224792056613
60,463,2.412975443734063
60,226,2.277742173936632
60,77,2.3941279782189264
60,221,2.0901406870947943
60,342,1.9319839874903362
60,330,2.1629458136028714
